feature,missing_rate
hand_temp,0.005725544451718898
hand_acc16_x,0.005725544451718898
hand_acc16_y,0.005725544451718898
hand_acc16_z,0.005725544451718898
hand_gyro_x,0.005725544451718898
hand_gyro_y,0.005725544451718898
hand_gyro_z,0.005725544451718898
hand_mag_x,0.005725544451718898
hand_mag_y,0.005725544451718898
hand_mag_z,0.005725544451718898
ankle_temp,0.004378569457998262
ankle_acc16_x,0.004378569457998262
ankle_acc16_y,0.004378569457998262
ankle_acc16_z,0.004378569457998262
ankle_gyro_x,0.004378569457998262
ankle_gyro_y,0.004378569457998262
ankle_gyro_z,0.004378569457998262
ankle_mag_x,0.004378569457998262
ankle_mag_y,0.004378569457998262
ankle_mag_z,0.004378569457998262
chest_temp,0.0012455787102804508
chest_acc16_x,0.0012455787102804508
chest_acc16_y,0.0012455787102804508
chest_acc16_z,0.0012455787102804508
chest_gyro_x,0.0012455787102804508
chest_gyro_y,0.0012455787102804508
chest_gyro_z,0.0012455787102804508
chest_mag_x,0.0012455787102804508
chest_mag_y,0.0012455787102804508
chest_mag_z,0.0012455787102804508
timestamp,0
