activity_id,activity,rows,pct
4,walking,238761,0.12289075142366558
17,ironing,238690,0.1228542075854714
1,lying,192523,0.09909196282616663
3,standing,189931,0.09775785538110592
7,nordic_walking,188107,0.096819039030878
2,sitting,185188,0.0953166240493455
16,vacuum_cleaning,175353,0.09025453040653218
6,cycling,164600,0.08471994037692653
12,ascending_stairs,117216,0.060331303348856745
13,descending_stairs,104944,0.05401488106267423
5,running,98199,0.05054321643422727
24,rope_jumping,49360,0.025405688074150022
