label_activity_id,label_activity,windows,pct,split
17,ironing,1758,0.12643843498273877,train
4,walking,1740,0.12514384349827387,train
1,lying,1439,0.10349539700805524,train
3,standing,1400,0.10069044879171461,train
2,sitting,1346,0.09680667433831991,train
7,nordic_walking,1321,0.09500863060989644,train
16,vacuum_cleaning,1303,0.09371403912543153,train
6,cycling,1147,0.08249424626006904,train
12,ascending_stairs,842,0.06055811277330265,train
13,descending_stairs,755,0.05430092059838895,train
5,running,641,0.046101841196777904,train
24,rope_jumping,212,0.01524741081703107,train
4,walking,325,0.12390392680137248,validation
7,nordic_walking,298,0.11361036980556614,validation
17,ironing,289,0.11017918414029737,validation
3,standing,255,0.09721692718261532,validation
6,cycling,251,0.0956919557758292,validation
1,lying,232,0.08844834159359512,validation
2,sitting,223,0.08501715592832634,validation
16,vacuum_cleaning,206,0.07853602744948532,validation
12,ascending_stairs,171,0.06519252764010675,validation
13,descending_stairs,150,0.0571864277544796,validation
24,rope_jumping,130,0.04956157072054899,validation
5,running,93,0.035455585207777356,validation
17,ironing,329,0.12153675655707426,test
4,walking,320,0.11821204285186554,test
2,sitting,266,0.09826376062061322,test
7,nordic_walking,263,0.09715552271887698,test
5,running,246,0.09087550794237163,test
6,cycling,246,0.09087550794237163,test
16,vacuum_cleaning,244,0.09013668267454747,test
1,lying,235,0.08681196896933875,test
3,standing,217,0.08016254155892132,test
12,ascending_stairs,141,0.05208718138160325,test
13,descending_stairs,125,0.046176579239009974,test
24,rope_jumping,75,0.027705947543405985,test
