"session_type","subject_id","source_file","n_rows","ts_min","ts_max","median_dt","hr_missing_rate","has_unknown_activity","orientation_var_mean"
"optional",101,"subject101.dat",319352,10.03,3203.54,0.00999999999999091,0.908599288559333,FALSE,0
"optional",105,"subject105.dat",154773,5.66,1553.38,0.00999999999999091,0.908601629483179,FALSE,0.121705649488376
"optional",106,"subject106.dat",129963,5.93,1305.55,0.00999999999999091,0.90877403568708,FALSE,0.128307119369367
"optional",108,"subject108.dat",180412,5.87,1809.98,0.00999999999999091,0.908781012349511,FALSE,0.116918240247872
"optional",109,"subject109.dat",193472,6.11,1940.82,0.00999999999999091,0.908839521998015,FALSE,0.185377271846478
"protocol",101,"subject101.dat",376417,8.38,3772.54,0.00999999999999091,0.908641214397862,FALSE,0
"protocol",102,"subject102.dat",447000,5.64,4475.63,0.00999999999999091,0.908736017897092,FALSE,0.177630215846666
"protocol",103,"subject103.dat",252833,5.64,2533.96,0.00999999999999091,0.90865116499824,FALSE,0.175112312476552
"protocol",104,"subject104.dat",329576,5.71,3301.46,0.00999999999999091,0.908625021239411,FALSE,0.170387539200472
"protocol",105,"subject105.dat",374783,5.7,3753.52,0.00999999999999091,0.908685826198093,FALSE,0.161029087028224
"protocol",106,"subject106.dat",361817,5.89,3624.05,0.00999999999999091,0.9086582443611,FALSE,0.165127185977276
"protocol",107,"subject107.dat",313599,5.92,3141.9,0.00999999999999091,0.908654045452951,FALSE,0.16350565817078
"protocol",108,"subject108.dat",408031,5.89,4086.19,0.00999999999999091,0.908881923187209,FALSE,0.157028184888678
"protocol",109,"subject109.dat",8477,15.47,100.23,0.00999999999999801,0.908458180960245,FALSE,0.0666580864339678
