feature,missing_rate
heart_rate,0.908699508246321
hand_temp,0.00372366741505335
hand_acc16_x,0.00372366741505335
hand_acc16_y,0.00372366741505335
hand_acc16_z,0.00372366741505335
hand_acc6_x,0.00372366741505335
hand_acc6_y,0.00372366741505335
hand_acc6_z,0.00372366741505335
hand_gyro_x,0.00372366741505335
hand_gyro_y,0.00372366741505335
hand_gyro_z,0.00372366741505335
hand_mag_x,0.00372366741505335
hand_mag_y,0.00372366741505335
hand_mag_z,0.00372366741505335
hand_orient_w,0.00372366741505335
hand_orient_x,0.00372366741505335
hand_orient_y,0.00372366741505335
hand_orient_z,0.00372366741505335
ankle_temp,0.0035205771710463954
ankle_acc16_x,0.0035205771710463954
ankle_acc16_y,0.0035205771710463954
ankle_acc16_z,0.0035205771710463954
ankle_acc6_x,0.0035205771710463954
ankle_acc6_y,0.0035205771710463954
ankle_acc6_z,0.0035205771710463954
ankle_gyro_x,0.0035205771710463954
ankle_gyro_y,0.0035205771710463954
ankle_gyro_z,0.0035205771710463954
ankle_mag_x,0.0035205771710463954
ankle_mag_y,0.0035205771710463954
ankle_mag_z,0.0035205771710463954
ankle_orient_w,0.0035205771710463954
ankle_orient_x,0.0035205771710463954
ankle_orient_y,0.0035205771710463954
ankle_orient_z,0.0035205771710463954
chest_temp,0.0011193336977876928
chest_acc16_x,0.0011193336977876928
chest_acc16_y,0.0011193336977876928
chest_acc16_z,0.0011193336977876928
chest_acc6_x,0.0011193336977876928
chest_acc6_y,0.0011193336977876928
chest_acc6_z,0.0011193336977876928
chest_gyro_x,0.0011193336977876928
chest_gyro_y,0.0011193336977876928
chest_gyro_z,0.0011193336977876928
chest_mag_x,0.0011193336977876928
chest_mag_y,0.0011193336977876928
chest_mag_z,0.0011193336977876928
chest_orient_w,0.0011193336977876928
chest_orient_x,0.0011193336977876928
chest_orient_y,0.0011193336977876928
chest_orient_z,0.0011193336977876928
