activity_id,activity,rows,pct
0,other_transient,1125552,0.29231282649938123
10,computer_work,309935,0.08049203935587669
4,walking,238761,0.06200771067691121
17,ironing,238690,0.06198927153711007
1,lying,192523,0.04999941566106264
3,standing,189931,0.04932625720522373
7,nordic_walking,188107,0.04885255310667042
19,house_cleaning,187188,0.04861388311403309
2,sitting,185188,0.048094470725268505
16,vacuum_cleaning,175353,0.045540260303518626
6,cycling,164600,0.042747639595325806
12,ascending_stairs,117216,0.030441721280715126
13,descending_stairs,104944,0.0272546068632556
18,folding_laundry,99878,0.02593893528251489
5,running,98199,0.025502888582147016
9,watching_tv,83646,0.021723384335301472
11,car_driving,54519,0.014158922011528357
24,rope_jumping,49360,0.012819097754710096
20,playing_soccer,46915,0.012184116109445385
