subject_id,session_type,rows,activity0_rate
101,optional,319352,0.31308399509005735
101,protocol,376417,0.3359571964071761
102,protocol,447000,0.4108523489932886
103,protocol,252833,0.3104618463570816
104,protocol,329576,0.2978220501492827
105,optional,154773,0.0995134810335136
105,protocol,374783,0.2730673483055528
106,optional,129963,0.13608488569823718
106,protocol,361817,0.30877764173601574
107,protocol,313599,0.25772722489548755
108,optional,180412,0.15641975034920072
108,protocol,408031,0.35764194387191167
109,optional,193472,0.1788320790605359
109,protocol,8477,0.24607762180016515
