session_type,subject_id,source_file,median_dt,iqr_dt,approx_hz
optional,101,subject101.dat,0.009999999999990905,1.4210854715202004e-14,100.00000000009095
optional,105,subject105.dat,0.009999999999990905,0,100.00000000009095
optional,106,subject106.dat,0.009999999999990905,0,100.00000000009095
optional,108,subject108.dat,0.009999999999990905,0,100.00000000009095
optional,109,subject109.dat,0.009999999999990905,0,100.00000000009095
protocol,101,subject101.dat,0.009999999999990905,1.1368683772161603e-13,100.00000000009095
protocol,102,subject102.dat,0.009999999999990905,2.2737367544323206e-13,100.00000000009095
protocol,103,subject103.dat,0.009999999999990905,0,100.00000000009095
protocol,104,subject104.dat,0.009999999999990905,1.4210854715202004e-14,100.00000000009095
protocol,105,subject105.dat,0.009999999999990905,1.1368683772161603e-13,100.00000000009095
protocol,106,subject106.dat,0.009999999999990905,5.684341886080802e-14,100.00000000009095
protocol,107,subject107.dat,0.009999999999990905,1.0658141036401503e-14,100.00000000009095
protocol,108,subject108.dat,0.009999999999990905,2.2737367544323206e-13,100.00000000009095
protocol,109,subject109.dat,0.00999999999999801,7.105427357601002e-15,100.0000000000199
